Designator,Mid X,Mid Y,Rotation,Layer
C1,83.6904,-38.834,90.0,top
C10,60.678,-73.886,270.0,top
C11,57.122,-76.934,180.0,top
C12,98.143,-9.116,180.0,top
C13,98.143,-12.164,0.0,top
C14,98.143,-10.64,0.0,top
C15,98.143,-13.688,180.0,top
C2,86.9924,-38.834,270.0,top
C3,94.206,-27.404,180.0,top
C4,94.206,-24.0004,0.0,top
C5,39.85,-32.23,180.0,top
C6,51.026,-73.886,270.0,top
C7,47.47,-76.934,180.0,top
C8,44.803,-32.103,0.0,top
C9,53.693,-8.1,90.0,top
D1,101.1656,-28.6232,0.0,top
J1,93.98,-87.375,0.0,top
J2,108.43,-20.673,270.0,top
J3,71.6,-20.8,0.0,top
J4,45.72,-87.375,0.0,top
J5,55.372,-87.375,0.0,top
J6,84.328,-87.375,0.0,top
J7,74.676,-87.375,0.0,top
J8,65.024,-87.375,0.0,top
L1,45.72,-80.109,90.0,top
L2,49.22,-80.109,270.0,top
L3,55.372,-80.109,90.0,top
L4,58.872,-80.109,270.0,top
LS1,42.644,-62.7,90.0,top
Q1,100.556,-32.738,270.0,top
Q2,86.078,-72.87,270.0,top
Q3,76.426,-72.87,270.0,top
Q4,66.774,-72.87,270.0,top
Q5,42.644,-49.4512,270.0,top
Q7,75.283,-24.864,180.0,top
Q8,75.283,-20.038,180.0,top
R1,103.2992,-31.6712,270.0,top
R10,88.364,-64.488,270.0,top
R11,78.712,-64.488,270.0,top
R12,69.06,-64.488,270.0,top
R13,86.84,-64.488,90.0,top
R14,77.188,-64.488,90.0,top
R15,67.536,-64.488,90.0,top
R16,42.644,-45.8444,0.0,top
R17,100.048,-22.451,0.0,top
R18,100.048,-18.895,0.0,top
R19,95.603,-9.878,270.0,top
R2,51.026,-70.584,270.0,top
R20,94.079,-9.878,90.0,top
R21,80.109,-19.149,180.0,top
R22,92.555,-9.878,270.0,top
R23,80.109,-23.848,180.0,top
R24,60.17,-45.7428,270.0,top
R25,60.1446,-56.8426,270.0,top
R3,44.803,-33.627,180.0,top
R4,74.0892,-61.3384,0.0,top
R5,69.1108,-61.3384,0.0,top
R6,60.678,-70.584,270.0,top
R7,74.0892,-40.9676,270.0,top
R8,60.551,-14.958,0.0,top
R9,55.217,-8.1,270.0,top
SW1,51.205,-56.65,0.0,top
SW2,51.205,-41.41,0.0,top
SW3,40.104,-35.405,0.0,top
SW4,40.104,-39.2912,0.0,top
SW5,71.6,-51.28,0.0,top
U1,91.92,-80.109,90.0,top
U2,94.206,-33.6524,180.0,top
U3,91.92,-15.0596,180.0,top
U4,47.47,-72.235,90.0,top
U5,46.99,-20.673,90.0,top
U6,57.122,-72.235,90.0,top
